"TOA5","69927","CR1000","69927","CR1000.Std.31.03","CPU:QikIsland_Met_2018_v1.1.CR1","58687","CBAY_MET_1HR"
"TIMESTAMP","TEMPERATURE_Avg","WIND_SPEED","WIND_DIRECTION","GUST_Max","RH_B_Avg","BP_Avg","BattV_Avg","Kdn_Avg","Kup_Avg","LdnCo_Avg","LupCo_Avg","Ux_Avg","Uy_Avg","Uz_Avg","CO2_op_Avg","H2O_op_Avg","CO2_Avg","H2O_Avg","Pfast_cp_Avg","xco2_cp_Avg","xh2o_cp_Avg","mfc_Avg"
"TS","Deg C","","Deg","km/hr","","kPa","Volts","W/m^2","W/m^2","W/m^2","W/m^2","","","","","","","","","","",""
"","Avg","WVc","WVc","Max","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg"
"2018-08-05 15:00:00",6.525,9.05,280.5,11.78,80,100.1,12.41,604,73.09,261.7,396.2,0.476,2.702,0.11,17.7,348.2,751.2,4.261,98.4,404.7,-2.481,6.96
"2018-08-05 16:00:00",5.749,13,280.5,16.79,82.6,100.1,12.56,542.5,69.23,261.7,392.9,0.587,3.646,0.187,17.71,341.9,751.1,4.148,98.4,404.5,-3.077,6.961
"2018-08-05 17:00:00",5.558,15.46,277.1,20.89,80.3,100,12.67,479.3,71.16,261.2,389.3,0.476,4.397,0.176,17.7,327.3,750.2,3.926,98.3,404.3,-3.185,6.96
"2018-08-05 18:00:00",5.479,12.02,284.6,14.96,80.2,100,12.74,384,67.45,260.2,388,0.892,3.378,0.133,17.67,326.4,749.4,3.889,98.3,404.1,-3.201,6.959
"2018-08-05 19:00:00",5.709,15.22,278.1,18.7,76.04,100,12.78,287.4,64.77,259.3,381.4,0.53,4.36,0.158,17.68,310.9,749.2,3.679,98.2,404.7,-3.213,6.96
"2018-08-05 20:00:00",5.608,12.54,267.4,16.79,76.07,99.9,12.82,192.2,60.42,258.6,373.4,-0.262,4.631,0.092,17.71,308.1,749.6,3.633,98.2,405.2,-3.218,6.96
"2018-08-05 21:00:00",5.488,10.42,290.6,15.1,78.68,99.9,12.85,94.8,42.26,256.4,365.6,0.677,2.8,0.16,17.68,321.8,747.9,3.823,98.2,404.8,-3.22,6.96
"2018-08-05 22:00:00",5.126,8.53,17.67,15.1,80.8,99.8,12.84,28.12,18.68,254.7,355.2,1.205,-1.069,0.127,17.67,323.5,746,3.824,98.2,404.8,-3.227,6.964
"2018-08-05 23:00:00",5.312,2.347,67.27,6.915,80,99.8,12.85,6.666,8.14,260,349.7,0.222,-0.673,-0.008,17.64,323.2,744.7,3.818,98.1,405,-3.232,6.959
